host,phage,assay,group,term,slope,std.error,statistic,p.value,spore,colony
wt,noPhage,CFU,g1,heat.min,-4.0142057090875467e-4,0.0015083400760302083,-0.2661339954350687,0.8150610392586034,non-infected host spore,wt-col1
wt,noPhage,CFU,g2,heat.min,-0.003098363741208377,0.0012156831493349413,-2.548660597050626,0.12559392561655836,non-infected host spore,wt-col2
wt,noPhage,CFU,g3,heat.min,-0.001959117632442473,8.110682875492457e-4,-2.41547803374512,0.13702839919190335,non-infected host spore,wt-col3
wt,Goe2,CFU,g1,heat.min,-0.017071875540832313,0.002903384643954137,-5.879990987891299,0.027725972504760405,infected host spore,wt-col1
wt,Goe2,CFU,g2,heat.min,-0.013743262760884523,0.001365247665592644,-10.066497901623347,0.00972460530680814,infected host spore,wt-col2
wt,Goe2,CFU,g3,heat.min,-0.0026513105986287863,7.918921206584658e-4,-3.348070437200709,0.0788080101441817,infected host spore,wt-col3
wt,Goe2,PFU,g1,heat.min,-0.013300459802956681,0.002522052827967973,-5.273664237109937,0.03412636779407488,viral spore,wt-col1
wt,Goe2,PFU,g2,heat.min,-0.015672058367757404,0.004803809063024878,-3.262423248331392,0.08249535699059093,viral spore,wt-col2
wt,Goe2,PFU,g3,heat.min,1.1355559532519873e-4,4.3692116290269275e-4,0.25989950811901696,0.8192502593043809,viral spore,wt-col3
wt,SPO1,CFU,g1,heat.min,-0.0032879494643304466,5.340729953887694e-4,-6.156367187105275,0.025384299712037088,infected host spore,wt-col1
wt,SPO1,CFU,g2,heat.min,-0.005879757040640095,0.0026503060094127174,-2.218520057592517,0.15675678381091518,infected host spore,wt-col2
wt,SPO1,CFU,g3,heat.min,4.6080258072710937e-4,0.0010320013735707673,0.44651353431121266,0.6989178207661285,infected host spore,wt-col3
wt,SPO1,PFU,g1,heat.min,-0.0029114815264456658,0.0014445458296241272,-2.0154995893783703,0.18141044011792856,viral spore,wt-col1
wt,SPO1,PFU,g2,heat.min,-7.974702796009399e-4,4.6934655368079597e-4,-1.6991075642227937,0.23139856374275833,viral spore,wt-col2
wt,SPO1,PFU,g3,heat.min,-0.0026707593728073848,0.0011117099931613236,-2.4023885628774977,0.13822946356951873,viral spore,wt-col3
dsspAB,noPhage,CFU,g1,heat.min,-0.03633501064493466,0.004121622200827189,-8.815706261879704,0.012624110658431857,non-infected host spore,dsspAB-col1
dsspAB,noPhage,CFU,g2,heat.min,-0.029335748366135315,0.004280301692505067,-6.853663707280975,0.020632384929682984,non-infected host spore,dsspAB-col2
dsspAB,noPhage,CFU,g3,heat.min,-0.027083350774137274,0.004589694771783861,-5.900904552659584,0.02753782087933403,non-infected host spore,dsspAB-col3
dsspAB,Goe2,CFU,g1,heat.min,-0.02745620764254738,0.006631986723416688,-4.1399672206223,0.05368973036742785,infected host spore,dsspAB-col1
dsspAB,Goe2,CFU,g2,heat.min,-0.030974763289786867,0.004775217117200243,-6.486566480551502,0.022951709056793734,infected host spore,dsspAB-col2
dsspAB,Goe2,CFU,g3,heat.min,-0.013575064789385914,0.002518769755360697,-5.38956161455175,0.032744958925406076,infected host spore,dsspAB-col3
dsspAB,Goe2,PFU,g1,heat.min,-0.021023073978839027,0.0017704524410079429,-11.874407632701109,0.007017553902795953,viral spore,dsspAB-col1
dsspAB,Goe2,PFU,g2,heat.min,-0.04170845343977919,0.00524647462188959,-7.949805621047171,0.015457022006581824,viral spore,dsspAB-col2
dsspAB,Goe2,PFU,g3,heat.min,-0.016256438943324455,0.001022367973068979,-15.900770927443396,0.003931844909803268,viral spore,dsspAB-col3
dsspAB,SPO1,CFU,g1,heat.min,-0.022443050107846065,0.0034930305261382045,-6.425094181085919,0.023377637702704335,infected host spore,dsspAB-col1
dsspAB,SPO1,CFU,g2,heat.min,-0.027113725871213617,0.004530086563579519,-5.985255577498122,0.026797801606489764,infected host spore,dsspAB-col2
dsspAB,SPO1,CFU,g3,heat.min,-0.013698404832395693,6.159379840370435e-4,-22.239909191201708,0.0020156695879807156,infected host spore,dsspAB-col3
dsspAB,SPO1,PFU,g1,heat.min,-0.028056341969604437,0.001625911561067154,-17.255761408812347,0.0033415706948671676,viral spore,dsspAB-col1
dsspAB,SPO1,PFU,g2,heat.min,-0.04217930069248127,0.004007895141321843,-10.524052951787088,0.008908411894112359,viral spore,dsspAB-col2
dsspAB,SPO1,PFU,g3,heat.min,-0.016837929660601398,0.0010809099073252613,-15.577551418940436,0.004095690363212386,viral spore,dsspAB-col3
